k x dx P11 P12 P21 P22 rx rdx z 
580 169.729728 5.962361 1.980062 0.197999 0.197999 0.039798 168.200000 5.800000 172.535403 
581 170.675492 6.007263 1.980062 0.197999 0.197999 0.039798 168.780500 5.810000 187.953584 
582 171.119218 6.001513 1.980063 0.197999 0.197999 0.039798 169.362000 5.820000 163.322399 
583 171.746902 6.014216 1.980063 0.197999 0.197999 0.039798 169.944500 5.830000 173.085153 
584 172.203950 6.009729 1.980063 0.197999 0.197999 0.039798 170.528000 5.840000 165.032184 
585 172.938681 6.033055 1.980063 0.197999 0.197999 0.039798 171.112500 5.850000 179.535434 
586 173.390246 6.027831 1.980064 0.197999 0.197999 0.039798 171.698000 5.860000 165.853807 
587 174.080507 6.046529 1.980064 0.198000 0.198000 0.039798 172.284500 5.870000 178.386185 
588 174.567343 6.044697 1.980065 0.198000 0.198000 0.039798 172.872000 5.880000 168.710269 
589 175.032539 6.040720 1.980065 0.198000 0.198000 0.039798 173.460500 5.890000 168.113247 
590 175.631326 6.050142 1.980065 0.198000 0.198000 0.039799 174.050000 5.900000 175.344952 
591 176.264624 6.062920 1.980066 0.198000 0.198000 0.039799 174.640500 5.910000 177.640052 
592 177.038750 6.089653 1.980066 0.198000 0.198000 0.039799 175.232000 5.920000 185.322301 
593 177.733044 6.108136 1.980066 0.198000 0.198000 0.039799 175.824500 5.930000 181.932356 
594 178.397828 6.123483 1.980067 0.198000 0.198000 0.039799 176.418000 5.940000 181.044816 
595 179.196455 6.152060 1.980067 0.198001 0.198001 0.039799 177.012500 5.950000 188.393095 
596 179.954121 6.176256 1.980068 0.198001 0.198001 0.039799 177.608000 5.960000 186.981624 
597 180.539977 6.183029 1.980068 0.198001 0.198001 0.039799 178.204500 5.970000 178.942521 
598 181.227132 6.199864 1.980068 0.198001 0.198001 0.039799 178.802000 5.980000 184.610783 
599 181.981894 6.223291 1.980069 0.198001 0.198001 0.039799 179.400500 5.990000 188.628994 
600 182.528080 6.225627 1.980069 0.198001 0.198001 0.039799 180.000000 6.000000 178.734014 
601 183.333540 6.253866 1.980070 0.198001 0.198001 0.039799 180.600500 6.010000 192.362779 
602 183.689988 6.236923 1.980070 0.198001 0.198001 0.039799 181.202000 6.020000 170.351932 
603 184.281388 6.243644 1.980071 0.198002 0.198002 0.039799 181.804500 6.030000 182.658063 
604 184.982883 6.261307 1.980071 0.198002 0.198002 0.039799 182.408000 6.040000 188.776347 
605 185.542176 6.264573 1.980072 0.198002 0.198002 0.039799 183.012500 6.050000 182.208722 
606 185.993407 6.257001 1.980072 0.198002 0.198002 0.039799 183.618000 6.060000 177.294408 
607 186.544394 6.259480 1.980073 0.198002 0.198002 0.039799 184.224500 6.070000 182.821096 
608 187.001561 6.252552 1.980073 0.198002 0.198002 0.039799 184.832000 6.080000 178.621629 
609 187.523189 6.252140 1.980074 0.198002 0.198002 0.039799 185.440500 6.090000 182.368526 
610 187.756479 6.222898 1.980074 0.198002 0.198002 0.039799 186.050000 6.100000 168.330277 
611 188.268294 6.221801 1.980075 0.198003 0.198003 0.039799 186.660500 6.110000 182.774693 
612 188.804034 6.223107 1.980075 0.198003 0.198003 0.039799 187.272000 6.120000 184.500198 
613 189.388182 6.229241 1.980076 0.198003 0.198003 0.039799 187.884500 6.130000 187.474262 
614 190.262704 6.264350 1.980076 0.198003 0.198003 0.039799 188.498000 6.140000 202.692844 
615 190.894748 6.274861 1.980077 0.198003 0.198003 0.039799 189.112500 6.150000 191.147670 
616 191.235929 6.256181 1.980077 0.198003 0.198003 0.039799 189.728000 6.160000 177.038168 
617 191.807849 6.260762 1.980078 0.198003 0.198003 0.039799 190.344500 6.170000 189.124869 
618 192.208434 6.248163 1.980078 0.198003 0.198003 0.039799 190.962000 6.180000 181.021221 
619 192.823853 6.257173 1.980079 0.198004 0.198004 0.039799 191.580500 6.190000 192.333884 
620 193.344634 6.256630 1.980079 0.198004 0.198004 0.039800 192.200000 6.200000 188.125250 
621 193.860240 6.255574 1.980080 0.198004 0.198004 0.039800 192.820500 6.210000 188.387300 
622 194.452473 6.262192 1.980081 0.198004 0.198004 0.039800 193.442000 6.220000 192.778051 
623 195.073546 6.271627 1.980081 0.198004 0.198004 0.039800 194.064500 6.230000 194.794077 
624 195.675204 6.279027 1.980082 0.198004 0.198004 0.039800 194.688000 6.240000 194.387864 
625 196.119115 6.270578 1.980082 0.198004 0.198004 0.039800 195.312500 6.250000 186.986227 
626 196.611314 6.267043 1.980083 0.198004 0.198004 0.039800 195.938000 6.260000 189.910674 
627 196.745654 6.227757 1.980083 0.198004 0.198004 0.039800 196.564500 6.270000 172.347420 
628 197.238415 6.224706 1.980084 0.198005 0.198005 0.039800 197.192000 6.280000 190.777567 
629 197.990033 6.247570 1.980084 0.198005 0.198005 0.039800 197.820500 6.290000 204.358461 
630 198.593515 6.255393 1.980085 0.198005 0.198005 0.039800 198.450000 6.300000 197.515560 
631 198.984281 6.241866 1.980085 0.198005 0.198005 0.039800 199.080500 6.310000 187.337609 
632 199.635302 6.254499 1.980086 0.198005 0.198005 0.039800 199.712000 6.320000 200.938904 
633 200.499681 6.288342 1.980087 0.198005 0.198005 0.039800 200.344500 6.330000 212.302596 
634 200.873319 6.272773 1.980087 0.198005 0.198005 0.039800 200.978000 6.340000 188.215634 
635 201.597051 6.292368 1.980088 0.198005 0.198005 0.039800 201.612500 6.350000 206.347111 
636 202.510882 6.330777 1.980088 0.198005 0.198005 0.039800 202.248000 6.360000 216.574314 
637 203.313128 6.357643 1.980089 0.198006 0.198006 0.039800 202.884500 6.370000 211.662686 
638 204.090071 6.381711 1.980089 0.198006 0.198006 0.039800 203.522000 6.380000 211.054063 
639 204.838416 6.402678 1.980090 0.198006 0.198006 0.039800 204.160500 6.390000 210.267557 
640 205.393453 6.404105 1.980090 0.198006 0.198006 0.039800 204.800000 6.400000 201.149574 
641 205.926674 6.403337 1.980091 0.198006 0.198006 0.039800 205.440500 6.410000 200.595713 
642 206.581955 6.414781 1.980091 0.198006 0.198006 0.039800 206.082000 6.420000 207.297144 
643 207.166747 6.419063 1.980092 0.198006 0.198006 0.039800 206.724500 6.430000 204.335890 
644 208.125387 6.460686 1.980092 0.198006 0.198006 0.039800 207.368000 6.440000 223.779829 
645 208.828010 6.476291 1.980093 0.198006 0.198006 0.039800 208.012500 6.450000 211.602856 
646 209.483973 6.487074 1.980093 0.198006 0.198006 0.039800 208.658000 6.460000 209.871754 
647 210.316119 6.515368 1.980094 0.198006 0.198006 0.039800 209.304500 6.470000 219.372068 
648 211.011575 6.529710 1.980095 0.198007 0.198007 0.039800 209.952000 6.480000 213.160910 
649 211.393956 6.512601 1.980095 0.198007 0.198007 0.039800 210.600500 6.490000 197.974308 
650 211.772677 6.495298 1.980096 0.198007 0.198007 0.039800 211.250000 6.500000 198.256539 
651 212.528876 6.515914 1.980096 0.198007 0.198007 0.039800 211.900500 6.510000 217.784507 
652 213.162739 6.524092 1.980097 0.198007 0.198007 0.039800 212.552000 6.520000 212.260405 
653 213.799142 6.532441 1.980097 0.198007 0.198007 0.039800 213.204500 6.530000 212.982016 
654 214.128969 6.510050 1.980097 0.198007 0.198007 0.039800 213.858000 6.540000 198.094271 
655 214.467408 6.488744 1.980098 0.198007 0.198007 0.039800 214.512500 6.550000 198.969828 
656 214.995339 6.486599 1.980098 0.198007 0.198007 0.039800 215.168000 6.560000 208.983565 
657 215.657128 6.497862 1.980099 0.198007 0.198007 0.039800 215.824500 6.570000 216.282325 
658 216.444580 6.521579 1.980099 0.198007 0.198007 0.039800 216.482000 6.580000 223.234640 
659 216.848360 6.506691 1.980100 0.198007 0.198007 0.039800 217.140500 6.590000 204.528244 
660 217.588406 6.525579 1.980100 0.198007 0.198007 0.039800 217.800000 6.600000 221.988056 
661 218.211258 6.532558 1.980101 0.198007 0.198007 0.039800 218.460500 6.610000 216.716000 
662 218.623315 6.518389 1.980101 0.198008 0.198008 0.039800 219.122000 6.620000 206.658601 
663 219.225132 6.523337 1.980102 0.198008 0.198008 0.039800 219.784500 6.630000 216.724169 
664 220.126914 6.558231 1.980102 0.198008 0.198008 0.039800 220.448000 6.640000 232.450471 
665 220.937638 6.583671 1.980103 0.198008 0.198008 0.039800 221.112500 6.650000 228.580852 
666 221.744518 6.608472 1.980103 0.198008 0.198008 0.039800 221.778000 6.660000 229.071517 
667 222.344592 6.612345 1.980103 0.198008 0.198008 0.039800 222.444500 6.670000 219.311415 
668 223.066204 6.628333 1.980104 0.198008 0.198008 0.039800 223.112000 6.680000 226.030334 
669 223.946139 6.659993 1.980104 0.198008 0.198008 0.039800 223.780500 6.690000 234.668423 
670 224.225575 6.631287 1.980105 0.198008 0.198008 0.039800 224.450000 6.700000 205.065006 
671 225.086933 6.661059 1.980105 0.198008 0.198008 0.039800 225.120500 6.710000 234.875025 
672 225.771913 6.672897 1.980105 0.198008 0.198008 0.039800 225.792000 6.720000 226.681464 
673 226.573924 6.696319 1.980106 0.198008 0.198008 0.039800 226.464500 6.730000 233.218192 
674 226.821803 6.664094 1.980106 0.198008 0.198008 0.039800 227.138000 6.740000 205.919299 
675 227.397382 6.664961 1.980107 0.198008 0.198008 0.039800 227.812500 6.750000 222.876314 
676 227.898109 6.658334 1.980107 0.198008 0.198008 0.039800 228.488000 6.760000 219.667391 
677 228.644630 6.676353 1.980107 0.198008 0.198008 0.039800 229.164500 6.770000 232.614130 
678 229.339171 6.688993 1.980108 0.198008 0.198008 0.039800 229.842000 6.780000 230.646276 
679 229.984517 6.696588 1.980108 0.198009 0.198009 0.039800 230.520500 6.790000 228.793844 
680 231.174023 6.758522 1.980108 0.198009 0.198009 0.039800 231.200000 6.800000 256.882880 
681 231.773056 6.760790 1.980109 0.198009 0.198009 0.039800 231.880500 6.810000 227.945600 
682 232.286532 6.754480 1.980109 0.198009 0.198009 0.039800 232.562000 6.820000 224.212540 
683 233.008904 6.769123 1.980110 0.198009 0.198009 0.039800 233.244500 6.830000 235.307025 
684 233.556180 6.766109 1.980110 0.198009 0.198009 0.039800 233.928000 6.840000 227.114106 
685 233.864584 6.739239 1.980110 0.198009 0.198009 0.039800 234.612500 6.850000 215.612780 
686 234.737684 6.769106 1.980111 0.198009 0.198009 0.039800 235.298000 6.860000 244.572596 
687 235.658516 6.803448 1.980111 0.198009 0.198009 0.039800 235.984500 6.870000 247.708434 
688 236.307875 6.810300 1.980111 0.198009 0.198009 0.039800 236.672000 6.880000 234.749239 
689 237.025322 6.823891 1.980111 0.198009 0.198009 0.039800 237.360500 6.890000 238.803307 
690 237.538573 6.816928 1.980112 0.198009 0.198009 0.039800 238.050000 6.900000 229.141086 
691 238.261220 6.830973 1.980112 0.198009 0.198009 0.039800 238.740500 6.910000 240.263802 
692 239.207707 6.867262 1.980112 0.198009 0.198009 0.039800 239.432000 6.920000 252.221343 
693 239.974211 6.885189 1.980113 0.198009 0.198009 0.039800 240.124500 6.930000 243.898629 
694 241.007402 6.929606 1.980113 0.198009 0.198009 0.039800 240.818000 6.940000 258.044640 
695 241.308722 6.900393 1.980113 0.198009 0.198009 0.039800 241.512500 6.950000 221.896955 
696 241.756528 6.886120 1.980114 0.198009 0.198009 0.039800 242.208000 6.960000 229.740671 
697 242.453859 6.896942 1.980114 0.198009 0.198009 0.039800 242.904500 6.970000 242.860759 
698 243.115162 6.904052 1.980114 0.198009 0.198009 0.039800 243.602000 6.980000 241.684956 
699 243.802587 6.913704 1.980114 0.198009 0.198009 0.039800 244.300500 6.990000 243.630332 
700 244.375930 6.911852 1.980115 0.198009 0.198009 0.039800 245.000000 7.000000 238.508544 
701 245.298599 6.944950 1.980115 0.198009 0.198009 0.039800 245.700500 7.010000 256.732788 
702 246.247747 6.980365 1.980115 0.198009 0.198009 0.039800 246.402000 7.020000 258.828889 
703 246.892726 6.985009 1.980115 0.198009 0.198009 0.039800 247.104500 7.030000 244.241519 
704 248.030153 7.038851 1.980116 0.198009 0.198009 0.039800 247.808000 7.040000 269.733160 
705 248.523742 7.027772 1.980116 0.198009 0.198009 0.039800 248.512500 7.050000 238.088858 
706 249.408825 7.055952 1.980116 0.198009 0.198009 0.039800 249.218000 7.060000 258.408613 
707 249.984509 7.052911 1.980116 0.198009 0.198009 0.039800 249.924500 7.070000 243.528902 
708 251.010450 7.094926 1.980116 0.198009 0.198009 0.039800 250.632000 7.080000 266.858509 
709 252.153189 7.148200 1.980117 0.198009 0.198009 0.039800 251.340500 7.090000 273.575038 
710 252.987264 7.170076 1.980117 0.198009 0.198009 0.039800 252.050000 7.100000 258.865897 
711 253.645441 7.174143 1.980117 0.198010 0.198010 0.039800 252.760500 7.110000 250.708462 
712 254.465233 7.194330 1.980117 0.198010 0.198010 0.039800 253.472000 7.120000 259.508357 
713 254.759074 7.161721 1.980117 0.198010 0.198010 0.039800 254.184500 7.130000 233.666674 
714 255.558999 7.180047 1.980118 0.198010 0.198010 0.039800 254.898000 7.140000 259.680192 
715 256.251279 7.187424 1.980118 0.198010 0.198010 0.039800 255.612500 7.150000 254.953073 
716 256.831357 7.183508 1.980118 0.198010 0.198010 0.039800 256.328000 7.160000 249.942433 
717 257.576664 7.196154 1.980118 0.198010 0.198010 0.039800 257.044500 7.170000 258.886308 
718 258.321224 7.208598 1.980118 0.198010 0.198010 0.039800 257.762000 7.180000 259.531298 
719 258.750460 7.189386 1.980119 0.198010 0.198010 0.039800 258.480500 7.190000 244.289708 
720 259.245083 7.176905 1.980119 0.198010 0.198010 0.039800 259.200000 7.200000 248.116285 
721 259.889838 7.179561 1.980119 0.198010 0.198010 0.039800 259.920500 7.210000 256.254617 
722 260.671456 7.195877 1.980119 0.198010 0.198010 0.039800 260.642000 7.220000 263.798094 
723 261.488710 7.215594 1.980119 0.198010 0.198010 0.039800 261.364500 7.230000 266.298625 
724 262.007939 7.205311 1.980119 0.198010 0.198010 0.039800 262.088000 7.240000 251.967442 
725 262.526986 7.195113 1.980120 0.198010 0.198010 0.039800 262.812500 7.250000 252.528362 
726 263.163460 7.196759 1.980120 0.198010 0.198010 0.039800 263.538000 7.260000 259.028207 
727 264.050910 7.223486 1.980120 0.198010 0.198010 0.039800 264.264500 7.270000 272.331304 
728 264.767160 7.232826 1.980120 0.198010 0.198010 0.039800 264.992000 7.280000 264.440530 
729 265.742024 7.267934 1.980120 0.198010 0.198010 0.039800 265.720500 7.290000 278.171022 
730 266.333360 7.264339 1.980120 0.198010 0.198010 0.039800 266.450000 7.300000 259.603223 
731 267.054922 7.273802 1.980120 0.198010 0.198010 0.039800 267.180500 7.310000 266.788991 
732 267.879366 7.293458 1.980121 0.198010 0.198010 0.039800 267.912000 7.320000 272.659492 
733 268.500722 7.292609 1.980121 0.198010 0.198010 0.039800 268.644500 7.330000 263.130232 
734 269.262977 7.305858 1.980121 0.198010 0.198010 0.039800 269.378000 7.340000 270.871535 
735 269.854751 7.301927 1.980121 0.198010 0.198010 0.039800 270.112500 7.350000 262.958536 
736 270.417100 7.295093 1.980121 0.198010 0.198010 0.039800 270.848000 7.360000 262.083761 
737 271.368714 7.327253 1.980121 0.198010 0.198010 0.039800 271.584500 7.370000 282.338552 
738 272.220964 7.349156 1.980121 0.198010 0.198010 0.039800 272.322000 7.380000 278.112952 
739 272.833739 7.346892 1.980121 0.198010 0.198010 0.039800 273.060500 7.390000 266.762772 
740 273.882802 7.388279 1.980121 0.198010 0.198010 0.039800 273.800000 7.400000 289.420176 
741 274.563768 7.392443 1.980122 0.198010 0.198010 0.039800 274.540500 7.410000 271.674704 
742 275.266755 7.398767 1.980122 0.198010 0.198010 0.039800 275.282000 7.420000 273.447199 
743 275.931202 7.401174 1.980122 0.198010 0.198010 0.039800 276.024500 7.430000 272.172540 
744 276.564114 7.400404 1.980122 0.198010 0.198010 0.039800 276.768000 7.440000 271.232494 
745 277.531940 7.433132 1.980122 0.198010 0.198010 0.039800 277.512500 7.450000 288.783052 
746 278.862995 7.501856 1.980122 0.198010 0.198010 0.039800 278.258000 7.460000 307.932593 
747 279.496940 7.500182 1.980122 0.198010 0.198010 0.039800 279.004500 7.470000 273.718054 
748 280.426338 7.528069 1.980122 0.198010 0.198010 0.039800 279.752000 7.480000 289.281204 
749 281.098047 7.529910 1.980122 0.198010 0.198010 0.039800 280.500500 7.490000 277.058806 
750 281.894578 7.544214 1.980122 0.198010 0.198010 0.039800 281.250000 7.500000 284.025144 
751 282.339378 7.523202 1.980122 0.198010 0.198010 0.039800 282.000500 7.510000 266.987792 
752 283.209873 7.544969 1.980122 0.198010 0.198010 0.039800 282.752000 7.520000 289.034983 
753 283.702248 7.528707 1.980123 0.198010 0.198010 0.039800 283.504500 7.530000 270.701967 
754 284.468903 7.540036 1.980123 0.198010 0.198010 0.039800 284.258000 7.540000 285.126475 
755 285.264836 7.554179 1.980123 0.198010 0.198010 0.039800 285.012500 7.550000 287.315696 
756 285.974605 7.559564 1.980123 0.198010 0.198010 0.039800 285.768000 7.560000 283.690127 
757 286.713617 7.567819 1.980123 0.198010 0.198010 0.039800 286.524500 7.570000 285.850099 
758 287.547197 7.585449 1.980123 0.198010 0.198010 0.039800 287.282000 7.580000 291.324122 
759 288.346948 7.599520 1.980123 0.198010 0.198010 0.039800 288.040500 7.590000 290.361986 
760 289.276260 7.626405 1.980123 0.198010 0.198010 0.039800 288.800000 7.600000 297.635121 
761 289.763781 7.608844 1.980123 0.198010 0.198010 0.039800 289.560500 7.610000 276.120120 
762 290.517003 7.618028 1.980123 0.198010 0.198010 0.039800 290.322000 7.620000 290.112920 
763 291.496958 7.649793 1.980123 0.198010 0.198010 0.039800 291.084500 7.630000 302.271191 
764 292.242228 7.657772 1.980123 0.198010 0.198010 0.039800 291.848000 7.640000 291.241819 
765 293.142837 7.681205 1.980123 0.198010 0.198010 0.039800 292.612500 7.650000 299.792520 
766 293.766165 7.676676 1.980123 0.198010 0.198010 0.039800 293.378000 7.660000 286.573878 
767 294.998916 7.733133 1.980123 0.198010 0.198010 0.039800 294.144500 7.670000 317.996706 
768 295.764130 7.742273 1.980123 0.198010 0.198010 0.039800 294.912000 7.680000 295.338455 
769 296.346214 7.733009 1.980123 0.198010 0.198010 0.039800 295.680500 7.690000 286.810012 
770 297.155616 7.746569 1.980123 0.198010 0.198010 0.039800 296.450000 7.700000 298.917912 
771 298.153172 7.778809 1.980123 0.198010 0.198010 0.039800 297.220500 7.710000 309.162331 
772 298.579818 7.753636 1.980124 0.198010 0.198010 0.039800 297.992000 7.720000 281.168311 
773 299.288851 7.756953 1.980124 0.198010 0.198010 0.039800 298.764500 7.730000 295.980600 
774 300.293358 7.789784 1.980124 0.198010 0.198010 0.039800 299.538000 7.740000 311.595232 
775 301.150542 7.807554 1.980124 0.198010 0.198010 0.039800 300.312500 7.750000 304.997106 
776 301.621089 7.786484 1.980124 0.198010 0.198010 0.039800 301.088000 7.760000 286.240431 
777 302.506001 7.807060 1.980124 0.198010 0.198010 0.039800 301.864500 7.770000 307.741475 
778 303.181369 7.806476 1.980124 0.198010 0.198010 0.039800 302.642000 7.780000 297.942178 
779 303.702750 7.790500 1.980124 0.198010 0.198010 0.039800 303.420500 7.790000 290.843848 
780 304.305391 7.782809 1.980124 0.198010 0.198010 0.039800 304.200000 7.800000 295.548031 
781 305.267879 7.811180 1.980124 0.198010 0.198010 0.039800 304.980500 7.810000 314.361730 
782 306.054248 7.821655 1.980124 0.198010 0.198010 0.039800 305.762000 7.820000 306.289463 
783 306.692701 7.817234 1.980124 0.198010 0.198010 0.039800 306.544500 7.830000 299.553878 
784 307.162413 7.795983 1.980124 0.198010 0.198010 0.039800 307.328000 7.840000 291.692542 
785 307.824897 7.794222 1.980124 0.198010 0.198010 0.039800 308.112500 7.850000 302.002740 
786 308.621885 7.805928 1.980124 0.198010 0.198010 0.039800 308.898000 7.860000 309.466698 
787 309.212312 7.796862 1.980124 0.198010 0.198010 0.039800 309.684500 7.870000 299.773972 
788 309.687539 7.776367 1.980124 0.198010 0.198010 0.039800 310.472000 7.880000 294.591475 
789 310.516130 7.791412 1.980124 0.198010 0.198010 0.039800 311.260500 7.890000 313.013745 
790 311.074546 7.779290 1.980124 0.198010 0.198010 0.039800 312.050000 7.900000 300.123472 
791 311.959327 7.799925 1.980124 0.198010 0.198010 0.039800 312.840500 7.910000 317.223935 
792 312.955263 7.831469 1.980124 0.198010 0.198010 0.039800 313.632000 7.920000 323.620109 
793 313.580748 7.825653 1.980124 0.198010 0.198010 0.039800 314.424500 7.930000 305.751447 
794 314.421146 7.841386 1.980124 0.198010 0.198010 0.039800 315.218000 7.940000 317.259219 
795 315.613662 7.892173 1.980124 0.198010 0.198010 0.039800 316.012500 7.950000 335.804362 
796 316.478135 7.909649 1.980124 0.198010 0.198010 0.039800 316.808000 7.960000 320.178703 
797 317.264665 7.919155 1.980124 0.198010 0.198010 0.039800 317.604500 7.970000 317.020347 
798 317.863417 7.909789 1.980124 0.198010 0.198010 0.039800 318.402000 7.980000 308.276721 
799 318.598618 7.914161 1.980124 0.198010 0.198010 0.039800 319.200500 7.990000 315.812755 
800 319.234768 7.908585 1.980124 0.198010 0.198010 0.039800 320.000000 8.000000 311.524062 
801 319.950828 7.911055 1.980124 0.198010 0.198010 0.039800 320.800500 8.010000 316.223414 
802 320.835261 7.930338 1.980124 0.198010 0.198010 0.039800 321.602000 8.020000 325.430396 
803 321.576220 7.935080 1.980124 0.198010 0.198010 0.039800 322.404500 8.030000 318.973650 
804 321.998833 7.907941 1.980124 0.198010 0.198010 0.039800 323.208000 8.040000 303.614085 
805 322.775749 7.916504 1.980124 0.198010 0.198010 0.039800 324.012500 8.050000 322.064022 
806 323.757632 7.945477 1.980124 0.198010 0.198010 0.039800 324.818000 8.060000 333.149726 
807 324.356122 7.935821 1.980124 0.198010 0.198010 0.039800 325.624500 8.070000 314.626177 
808 325.322755 7.963076 1.980124 0.198010 0.198010 0.039800 326.432000 8.080000 333.864359 
809 325.817790 7.942899 1.980124 0.198010 0.198010 0.039800 327.240500 8.090000 310.879477 
810 326.673201 7.958961 1.980124 0.198010 0.198010 0.039800 328.050000 8.100000 329.674038 
811 327.998133 8.021814 1.980124 0.198010 0.198010 0.039800 328.860500 8.110000 354.161640 
812 328.921589 8.043891 1.980124 0.198010 0.198010 0.039800 329.672000 8.120000 334.900167 
813 329.428065 8.024050 1.980124 0.198010 0.198010 0.039800 330.484500 8.130000 314.656057 
814 330.212917 8.032245 1.980124 0.198010 0.198010 0.039800 331.298000 8.140000 329.319265 
815 330.766487 8.017230 1.980124 0.198010 0.198010 0.039800 332.112500 8.150000 318.383337 
816 331.522351 8.022594 1.980124 0.198010 0.198010 0.039800 332.928000 8.160000 329.227504 
817 332.338028 8.033886 1.980124 0.198010 0.198010 0.039800 333.744500 8.170000 332.977466 
818 332.890895 8.018784 1.980124 0.198010 0.198010 0.039800 334.562000 8.180000 320.464896 
819 333.673359 8.026793 1.980124 0.198010 0.198010 0.039800 335.380500 8.190000 332.687534 
820 334.780651 8.067204 1.980124 0.198010 0.198010 0.039800 336.200000 8.200000 349.834828 
821 335.431658 8.061582 1.980124 0.198010 0.198010 0.039800 337.020500 8.210000 327.698775 
822 335.931187 8.040870 1.980124 0.198010 0.198010 0.039800 337.842000 8.220000 320.727702 
823 337.016474 8.078940 1.980124 0.198010 0.198010 0.039800 338.664500 8.230000 350.911677 
824 337.870193 8.093472 1.980124 0.198010 0.198010 0.039800 339.488000 8.240000 340.113864 
825 338.927427 8.128210 1.980124 0.198010 0.198010 0.039800 340.312500 8.250000 351.173528 
826 339.811015 8.145237 1.980124 0.198010 0.198010 0.039800 341.138000 8.260000 343.289357 
827 340.602383 8.152871 1.980124 0.198010 0.198010 0.039800 341.964500 8.270000 339.431407 
828 341.152371 8.136292 1.980124 0.198010 0.198010 0.039800 342.792000 8.280000 327.994810 
829 341.788763 8.128518 1.980124 0.198010 0.198010 0.039800 343.620500 8.290000 332.990434 
830 342.620119 8.140319 1.980124 0.198010 0.198010 0.039800 344.450000 8.300000 343.511336 
831 343.499503 8.156804 1.980124 0.198010 0.198010 0.039800 345.280500 8.310000 346.709844 
832 344.764328 8.211668 1.980124 0.198010 0.198010 0.039800 346.112000 8.320000 366.973063 
833 345.552094 8.218278 1.980124 0.198010 0.198010 0.039800 346.944500 8.330000 343.873958 
834 345.977120 8.188548 1.980124 0.198010 0.198010 0.039800 347.778000 8.340000 326.309903 
835 346.979123 8.216813 1.980124 0.198010 0.198010 0.039800 348.612500 8.350000 356.020586 
836 347.772169 8.223899 1.980124 0.198010 0.198010 0.039800 349.448000 8.360000 346.329905 
837 348.591739 8.233567 1.980124 0.198010 0.198010 0.039800 350.284500 8.370000 348.427400 
838 349.087029 8.210711 1.980124 0.198010 0.198010 0.039800 351.122000 8.380000 332.822339 
839 349.886567 8.218508 1.980124 0.198010 0.198010 0.039800 351.960500 8.390000 348.795904 
840 350.718501 8.229466 1.980124 0.198010 0.198010 0.039800 352.800000 8.400000 351.192875 
841 351.646552 8.249926 1.980124 0.198010 0.198010 0.039800 353.640500 8.410000 356.824671 
842 352.504378 8.263160 1.980124 0.198010 0.198010 0.039800 354.482000 8.420000 354.104963 
843 353.113759 8.251416 1.980124 0.198010 0.198010 0.039800 355.324500 8.430000 342.350317 
844 354.217265 8.289202 1.980124 0.198010 0.198010 0.039800 356.168000 8.440000 367.972036 
845 354.888629 8.283397 1.980124 0.198010 0.198010 0.039800 357.012500 8.450000 347.064556 
846 355.833728 8.305023 1.980124 0.198010 0.198010 0.039800 357.858000 8.460000 361.588793 
847 356.650070 8.313557 1.980124 0.198010 0.198010 0.039800 358.704500 8.470000 355.924337 
848 357.614534 8.336817 1.980124 0.198010 0.198010 0.039800 359.552000 8.480000 364.178917 
849 358.539863 8.355932 1.980124 0.198010 0.198010 0.039800 360.400500 8.490000 363.051848 
850 359.120633 8.340400 1.980124 0.198010 0.198010 0.039800 361.250000 8.500000 346.481626 
851 360.086541 8.363537 1.980124 0.198010 0.198010 0.039800 362.100500 8.510000 366.589488 
852 360.635135 8.344711 1.980124 0.198010 0.198010 0.039800 362.952000 8.520000 346.365772 
853 361.303567 8.338057 1.980124 0.198010 0.198010 0.039800 363.804500 8.530000 353.059559 
854 362.055837 8.339854 1.980124 0.198010 0.198010 0.039800 364.658000 8.540000 357.994916 
855 362.919656 8.352787 1.980124 0.198010 0.198010 0.039800 365.512500 8.550000 364.371736 
856 363.804506 8.367694 1.980124 0.198010 0.198010 0.039800 366.368000 8.560000 366.233629 
857 364.500426 8.363560 1.980124 0.198010 0.198010 0.039800 367.224500 8.570000 357.503352 
858 365.466654 8.386497 1.980124 0.198010 0.198010 0.039800 368.082000 8.580000 371.870805 
859 365.980099 8.363926 1.980124 0.198010 0.198010 0.039800 368.940500 8.590000 349.857089 
860 366.977918 8.390019 1.980124 0.198010 0.198010 0.039800 369.800000 8.600000 374.944113 
861 367.981996 8.416476 1.980124 0.198010 0.198010 0.039800 370.660500 8.610000 376.128798 
862 368.720142 8.416076 1.980124 0.198010 0.198010 0.039800 371.522000 8.620000 363.571857 
863 369.437388 8.413590 1.980124 0.198010 0.198010 0.039800 372.384500 8.630000 363.256515 
864 370.394454 8.435111 1.980124 0.198010 0.198010 0.039800 373.248000 8.640000 376.097435 
865 371.344367 8.455701 1.980124 0.198010 0.198010 0.039800 374.112500 8.650000 376.586702 
866 372.000739 8.446731 1.980124 0.198010 0.198010 0.039800 374.978000 8.660000 362.610331 
867 372.966216 8.468762 1.980124 0.198010 0.198010 0.039800 375.844500 8.670000 378.921489 
868 373.702397 8.467642 1.980124 0.198010 0.198010 0.039800 376.712000 8.680000 368.198008 
869 374.855106 8.508186 1.980124 0.198010 0.198010 0.039800 377.580500 8.690000 389.975179 
870 375.968686 8.544412 1.980124 0.198010 0.198010 0.039800 378.450000 8.700000 388.951143 
